Ticker,Name,Last Price,Market Cap,Trading Region,Industry,Total Revenues (LTM)
SLS,SELLAS Life Sciences Group Inc.,7.5830,1410.69,United States and Canada,Biotechnology,
AVBP,ArriVent BioPharma Inc.,30.2100,1407.03,United States and Canada,Biotechnology,
INBX,Inhibrx Biosciences Inc.,93.8650,1377.11,United States and Canada,Biotechnology,1.30
SVRA,Savara Inc.,5.2950,1342.81,United States and Canada,Biotechnology,
AKTS,Aktis Oncology Inc.,23.2050,1282.71,United States and Canada,Biotechnology,8.28
IMTX,Immatics N.V.,9.2150,1259.44,United States and Canada,Biotechnology,43.11
DMRA,Damora Therapeutics Inc.,20.2790,1248.24,United States and Canada,Biotechnology,
MPLT,MapLight Therapeutics Inc.,27.1420,1230.77,United States and Canada,Biotechnology,
CDNA,CareDx Inc.,23.4950,1213.74,United States and Canada,Biotechnology,412.82
ALVO,Alvotech,3.8650,1206.47,United States and Canada,Biotechnology,562.04
MNKD,MannKind Corporation,3.8850,1200.27,United States and Canada,Biotechnology,360.78
ZBIO,Zenas BioPharma Inc.,18.3000,1155.34,United States and Canada,Biotechnology,0.00
COAG,Hemab Therapeutics Holdings Inc.,25.3700,1121.17,United States and Canada,Biotechnology,
ABSI,Absci Corporation,7.1590,1116.12,United States and Canada,Biotechnology,1.84
CRVS,Corvus Pharmaceuticals Inc.,11.9000,1000.68,United States and Canada,Biotechnology,
SPRY,ARS Pharmaceuticals Inc.,9.8450,977.64,United States and Canada,Biotechnology,98.99
JBIO,Jade Biosciences Inc.,15.8200,939.07,United States and Canada,Biotechnology,
XNCR,Xencor Inc.,12.2550,908.61,United States and Canada,Biotechnology,97.36
MGTX,MeiraGTx Holdings plc,9.7460,902.57,United States and Canada,Biotechnology,79.76
ORIC,ORIC Pharmaceuticals Inc.,8.4250,872.14,United States and Canada,Biotechnology,
ABUS,Arbutus Biopharma Corporation,4.3350,856.33,United States and Canada,Biotechnology,191.44
SANA,Sana Biotechnology Inc.,2.8350,850.21,United States and Canada,Biotechnology,
ODTX,Odyssey Therapeutics Inc.,18.0000,849.13,United States and Canada,Biotechnology,2.98
JANX,Janux Therapeutics Inc.,13.7220,836.83,United States and Canada,Biotechnology,13.73
KURA,Kura Oncology Inc.,9.4260,836.79,United States and Canada,Biotechnology,71.64
CGEM,Cullinan Therapeutics Inc.,13.3550,820.77,United States and Canada,Biotechnology,
OLMA,Olema Pharmaceuticals Inc.,9.3330,815.21,United States and Canada,Biotechnology,
ZSQR,Z Squared Inc.,15.0730,776.26,United States and Canada,Biotechnology,
VOR,Vor Biopharma Inc.,14.0200,759.69,United States and Canada,Biotechnology,
GERN,Geron Corporation,1.1750,753.79,United States and Canada,Biotechnology,196.12
AVTX,Avalo Therapeutics Inc.,14.2960,751.48,United States and Canada,Biotechnology,0.06
ANNX,Annexon Inc.,4.5220,740.90,United States and Canada,Biotechnology,
EVMN,Evommune Inc.,20.2690,730.06,United States and Canada,Biotechnology,10.00
REPL,Replimune Group Inc.,8.8150,727.88,United States and Canada,Biotechnology,
NNNN,Anbio Biotechnology,16.5000,724.20,United States and Canada,Biotechnology,8.65
SLDB,Solid Biosciences Inc.,7.1450,703.42,United States and Canada,Biotechnology,
AURA,Aura Biosciences Inc.,6.2550,689.92,United States and Canada,Biotechnology,
DSGN,Design Therapeutics Inc.,10.7000,668.29,United States and Canada,Biotechnology,
TENX,Tenax Therapeutics Inc.,11.3050,665.62,United States and Canada,Biotechnology,
ALLO,Allogene Therapeutics Inc.,1.9250,664.42,United States and Canada,Biotechnology,
CTMX,CytomX Therapeutics Inc.,2.9850,649.84,United States and Canada,Biotechnology,35.54
BBOT,BridgeBio Oncology Therapeutics Inc.,7.7610,621.71,United States and Canada,Biotechnology,
IRWD,Ironwood Pharmaceuticals Inc.,3.7250,613.18,United States and Canada,Biotechnology,361.51
IMMX,Immix Biopharma Inc.,8.7200,608.57,United States and Canada,Biotechnology,
RIGL,Rigel Pharmaceuticals Inc.,32.5390,602.04,United States and Canada,Biotechnology,299.77
CBIO,Crescent Biopharma Inc.,17.8840,594.27,United States and Canada,Biotechnology,11.88
TRAX,First Tracks Biotherapeutics Inc.,16.9500,591.43,United States and Canada,Biotechnology,
CADL,Candel Therapeutics Inc.,8.0360,588.80,United States and Canada,Biotechnology,
DRUG,Bright Minds Biosciences Inc.,83.4000,584.79,United States and Canada,Biotechnology,
ACHV,Achieve Life Sciences Inc.,5.5450,569.24,United States and Canada,Biotechnology,
TECX,Tectonic Therapeutic Inc.,29.7210,560.81,United States and Canada,Biotechnology,
MDXG,MiMedx Group Inc.,3.7050,551.84,United States and Canada,Biotechnology,389.42
GYRE,Gyre Therapeutics Inc.,5.8520,534.71,United States and Canada,Biotechnology,117.05
PRME,Prime Medicine Inc.,2.9250,528.31,United States and Canada,Biotechnology,4.03
XOMA,XOMA Royalty Corporation,41.9450,526.03,United States and Canada,Biotechnology,48.55
CLYM,Climb Bio Inc.,10.8440,518.00,United States and Canada,Biotechnology,
ALT,Altimmune Inc.,2.6350,512.44,United States and Canada,Biotechnology,0.04
PROK,ProKidney Corp.,1.6960,512.29,United States and Canada,Biotechnology,0.89
RZLT,Rezolute Inc.,4.7550,496.74,United States and Canada,Biotechnology,
EIKN,Eikon Therapeutics Inc.,9.1210,493.80,United States and Canada,Biotechnology,
STRO,Sutro Biopharma Inc.,28.9550,479.80,United States and Canada,Biotechnology,99.61
KYTX,Kyverna Therapeutics Inc.,7.9000,478.19,United States and Canada,Biotechnology,
NGNE,Neurogene Inc.,29.6150,467.97,United States and Canada,Biotechnology,
FDMT,4D Molecular Therapeutics Inc.,8.8900,464.74,United States and Canada,Biotechnology,88.24
CABA,Cabaletta Bio Inc.,2.8350,462.26,United States and Canada,Biotechnology,
ASMB,Assembly Biosciences Inc.,23.3140,462.02,United States and Canada,Biotechnology,71.10
OVID,Ovid Therapeutics Inc.,2.3450,437.67,United States and Canada,Biotechnology,7.12
ARTV,Artiva Biotherapeutics Inc.,9.0070,437.63,United States and Canada,Biotechnology,
PRTA,Prothena Corporation plc,8.3200,435.58,United States and Canada,Biotechnology,57.94
MNPR,Monopar Therapeutics Inc.,63.1300,422.89,United States and Canada,Biotechnology,
CCCC,C4 Therapeutics Inc.,3.7950,419.60,United States and Canada,Biotechnology,34.86
FBRX,Forte Biosciences Inc.,17.0990,417.83,United States and Canada,Biotechnology,
PRLD,Prelude Therapeutics Incorporated,4.1700,413.57,United States and Canada,Biotechnology,16.72
VTVT,vTv Therapeutics Inc.,33.2260,412.32,United States and Canada,Biotechnology,36.84
EBS,Emergent BioSolutions Inc.,7.9700,411.22,United States and Canada,Biotechnology,676.80
ANL,Adlai Nortye Ltd.,10.2460,409.84,United States and Canada,Biotechnology,5.00
IPSC,Century Therapeutics Inc.,2.2350,403.09,United States and Canada,Biotechnology,0.00
INDP,Indaptus Therapeutics Inc.,3.5500,402.01,United States and Canada,Biotechnology,
MYGN,Myriad Genetics Inc.,4.2450,400.93,United States and Canada,Biotechnology,829.00
EPRX,Eupraxia Pharmaceuticals Inc.,8.5600,399.61,United States and Canada,Biotechnology,
AUTL,Autolus Therapeutics plc,1.4950,397.88,United States and Canada,Biotechnology,92.62
OCGN,Ocugen Inc.,1.1750,397.76,United States and Canada,Biotechnology,4.46
CYDY,CytoDyn Inc.,0.2800,391.12,United States and Canada,Biotechnology,
SGMT,Sagimet Biosciences Inc.,6.3120,389.78,United States and Canada,Biotechnology,
BNTC,Benitec Biopharma Inc.,11.2000,384.77,United States and Canada,Biotechnology,
XFOR,X4 Pharmaceuticals Inc.,4.0100,378.22,United States and Canada,Biotechnology,9.01
LXEO,Lexeo Therapeutics Inc.,4.7350,371.80,United States and Canada,Biotechnology,
EDIT,Editas Medicine Inc.,2.3850,366.01,United States and Canada,Biotechnology,38.69
RGNX,REGENXBIO Inc.,7.0400,363.95,United States and Canada,Biotechnology,87.82
GLSI,Greenwich LifeSciences Inc.,24.6560,361.91,United States and Canada,Biotechnology,
PBYI,Puma Biotechnology Inc.,7.1100,361.90,United States and Canada,Biotechnology,227.18
LRMR,Larimar Therapeutics Inc.,3.4250,357.51,United States and Canada,Biotechnology,
CMPX,Compass Therapeutics Inc.,1.9850,357.47,United States and Canada,Biotechnology,
VSTM,Verastem Inc.,4.0150,352.81,United States and Canada,Biotechnology,49.59
ENTA,Enanta Pharmaceuticals Inc.,12.0040,349.06,United States and Canada,Biotechnology,69.21
VNDA,Vanda Pharmaceuticals Inc.,5.7650,346.68,United States and Canada,Biotechnology,217.78
ZURA,Zura Bio Limited,3.6050,342.04,United States and Canada,Biotechnology,
STTK,Shattuck Labs Inc.,4.4050,337.78,United States and Canada,Biotechnology,1.00
CATX,Perspective Therapeutics Inc.,2.9450,335.87,United States and Canada,Biotechnology,0.62
ABEO,Abeona Therapeutics Inc.,5.7530,327.89,United States and Canada,Biotechnology,14.54
UPB,Upstream Bio Inc.,6.0050,326.79,United States and Canada,Biotechnology,3.32
CNXU,Conexeu Sciences Inc.,12.8890,325.70,United States and Canada,Biotechnology,
SLN,Silence Therapeutics plc,6.8200,322.14,United States and Canada,Biotechnology,0.84
AMRN,Amarin Corporation plc,15.1300,317.26,United States and Canada,Biotechnology,216.76
IRD,Opus Genetics Inc.,3.8900,316.63,United States and Canada,Biotechnology,11.98
FENC,Fennec Pharmaceuticals Inc.,9.0900,315.76,United States and Canada,Biotechnology,51.00
NWBO,Northwest Biotherapeutics Inc.,0.1886,315.11,United States and Canada,Biotechnology,1.50
RCKT,Rocket Pharmaceuticals Inc.,2.8450,310.66,United States and Canada,Biotechnology,
LCTX,Lineage Cell Therapeutics Inc.,1.2350,307.88,United States and Canada,Biotechnology,14.78
NVCT,Nuvectis Pharma Inc.,11.5290,305.81,United States and Canada,Biotechnology,
DMAC,DiaMedica Therapeutics Inc.,5.6050,302.02,United States and Canada,Biotechnology,
ORGO,Organogenesis Holdings Inc.,2.3450,301.74,United States and Canada,Biotechnology,514.70
PALI,Palisade Bio Inc.,1.7750,297.18,United States and Canada,Biotechnology,
EDT,Spectral Medical Inc.,1.3900,291.46,United States and Canada,Biotechnology,1.98
LYEL,Lyell Immunopharma Inc.,12.3350,287.83,United States and Canada,Biotechnology,0.03
BCYC,Bicycle Therapeutics plc,4.0650,283.78,United States and Canada,Biotechnology,63.50
IKT,Inhibikase Therapeutics Inc.,1.6650,283.75,United States and Canada,Biotechnology,
IMRX,Immuneering Corporation,4.1550,268.82,United States and Canada,Biotechnology,
RNAC,Cartesian Therapeutics Inc.,9.1430,268.64,United States and Canada,Biotechnology,1.77
ELDN,Eledon Pharmaceuticals Inc.,3.4550,267.08,United States and Canada,Biotechnology,
AKBA,Akebia Therapeutics Inc.,0.9950,266.92,United States and Canada,Biotechnology,232.40
SRZN,Surrozen Inc.,22.6850,263.38,United States and Canada,Biotechnology,7.49
SABS,SAB Biotherapeutics Inc.,3.6950,259.67,United States and Canada,Biotechnology,
TLSI,TriSalus Life Sciences Inc.,4.1760,256.48,United States and Canada,Biotechnology,44.88
IVVD,Invivyd Inc.,0.8650,254.84,United States and Canada,Biotechnology,55.87
ZNTL,Zentalis Pharmaceuticals Inc.,3.5650,253.78,United States and Canada,Biotechnology,
MGNX,MacroGenics Inc.,3.9360,250.18,United States and Canada,Biotechnology,157.08
ARMP,Armata Pharmaceuticals Inc.,6.8050,249.71,United States and Canada,Biotechnology,5.20
PAIN,Vector Science and Therapeutics Corp.,2.1800,238.76,United States and Canada,Biotechnology,
TRDA,Entrada Therapeutics Inc.,6.6050,238.00,United States and Canada,Biotechnology,5.74
IFRX,InflaRx N.V.,1.6150,237.88,United States and Canada,Biotechnology,0.03
FHTX,Foghorn Therapeutics Inc.,4.0400,237.20,United States and Canada,Biotechnology,28.22
ACIU,AC Immune SA,2.3850,236.59,United States and Canada,Biotechnology,4.63
AVXL,Anavex Life Sciences Corp.,2.5350,234.92,United States and Canada,Biotechnology,
ADAG,Adagene Inc.,3.5300,233.24,United States and Canada,Biotechnology,7.67
HUMA,Humacyte Inc.,1.0450,232.01,United States and Canada,Biotechnology,2.02
CNTN,Canton Strategic Holdings Inc.,3.2890,229.59,United States and Canada,Biotechnology,
FATE,Fate Therapeutics Inc.,1.9050,222.05,United States and Canada,Biotechnology,6.32
CAMP,Camp4 Therapeutics Corporation,4.2300,219.65,United States and Canada,Biotechnology,3.93
TARA,Protara Therapeutics Inc.,3.8850,218.35,United States and Canada,Biotechnology,
VYGR,Voyager Therapeutics Inc.,3.6050,217.82,United States and Canada,Biotechnology,36.49
QTTB,Q32 Bio Inc.,12.8140,217.28,United States and Canada,Biotechnology,53.74
RNA,Atrium Therapeutics Inc.,12.6910,217.09,United States and Canada,Biotechnology,36.68
NERV,Minerva Neurosciences Inc.,4.4960,209.46,United States and Canada,Biotechnology,
KPTI,Karyopharm Therapeutics Inc.,9.2800,209.28,United States and Canada,Biotechnology,151.12
WHWK,Whitehawk Therapeutics Inc.,4.2040,207.90,United States and Canada,Biotechnology,0.00
CHRS,Coherus Oncology Inc.,1.3450,207.47,United States and Canada,Biotechnology,46.88
ARCT,Arcturus Therapeutics Holdings Inc.,7.2390,205.75,United States and Canada,Biotechnology,54.71
KROS,Keros Therapeutics Inc.,10.1750,201.38,United States and Canada,Biotechnology,33.18
YDES,YD Bio Limited,2.8200,198.30,United States and Canada,Biotechnology,0.51
ALXO,ALX Oncology Holdings Inc.,1.4550,195.78,United States and Canada,Biotechnology,
ANIK,Anika Therapeutics Inc.,14.3950,191.53,United States and Canada,Biotechnology,116.26
CGEN,Compugen Ltd.,2.0150,190.59,United States and Canada,Biotechnology,72.66
UNCY,Unicycive Therapeutics Inc.,7.1050,189.70,United States and Canada,Biotechnology,
IMUX,Immunic Inc.,13.8000,187.98,United States and Canada,Biotechnology,
NKTX,Nkarta Inc.,2.6250,187.81,United States and Canada,Biotechnology,
TNXP,Tonix Pharmaceuticals Holding Corp.,11.7400,187.15,United States and Canada,Biotechnology,17.56
OTLK,Outlook Therapeutics Inc.,1.5250,184.32,United States and Canada,Biotechnology,0.33
OKUR,OnKure Therapeutics Inc.,4.2960,173.54,United States and Canada,Biotechnology,
IMDX,Insight Molecular Diagnostics Inc.,5.3550,172.90,United States and Canada,Biotechnology,1.95
EQ,Equillium Inc.,2.7290,172.55,United States and Canada,Biotechnology,
NBP,NovaBridge Biosciences,1.4850,171.74,United States and Canada,Biotechnology,
ABOS,Acumen Pharmaceuticals Inc.,2.3450,169.37,United States and Canada,Biotechnology,
GALT,Galectin Therapeutics Inc.,2.5550,168.26,United States and Canada,Biotechnology,
PLX,Protalix BioTherapeutics Inc.,2.0750,167.19,United States and Canada,Biotechnology,76.38
CRBU,Caribou Biosciences Inc.,1.6850,167.12,United States and Canada,Biotechnology,11.20
ALEC,Alector Inc.,1.5050,167.09,United States and Canada,Biotechnology,18.42
SPRO,Spero Therapeutics Inc.,2.8140,162.93,United States and Canada,Biotechnology,61.19
PRQR,ProQR Therapeutics N.V.,1.5350,161.73,United States and Canada,Biotechnology,15.76
DTIL,Precision BioSciences Inc.,6.2540,161.37,United States and Canada,Biotechnology,45.07
KZIA,Kazia Therapeutics Limited,13.8550,158.32,United States and Canada,Biotechnology,1.27
TNYA,Tenaya Therapeutics Inc.,0.7160,155.37,United States and Canada,Biotechnology,0.23
KRRO,Korro Bio Inc.,10.7460,154.98,United States and Canada,Biotechnology,3.84
ENLV,Enlivex Ltd.,0.6360,153.31,United States and Canada,Biotechnology,
CRBP,Corbus Pharmaceuticals Holdings Inc.,8.0150,148.50,United States and Canada,Biotechnology,
HURA,TuHURA Biosciences Inc.,2.2650,144.24,United States and Canada,Biotechnology,
TLSA,Tiziana Life Sciences Ltd,1.1050,142.88,United States and Canada,Biotechnology,
VXRT,Vaxart Inc.,0.5550,138.74,United States and Canada,Biotechnology,255.61
GNLX,Genelux Corporation,3.0750,136.56,United States and Canada,Biotechnology,0.01
ACOG,Alpha Cognition Inc.,6.0500,131.73,United States and Canada,Biotechnology,10.83
SPRB,Spruce Biosciences Inc.,47.7890,131.53,United States and Canada,Biotechnology,
ADCT,ADC Therapeutics SA,1.0150,129.10,United States and Canada,Biotechnology,79.17
AGEN,Agenus Inc.,3.0750,128.05,United States and Canada,Biotechnology,123.87
CNTB,Connect Biopharma Holdings Limited,1.9850,124.98,United States and Canada,Biotechnology,0.23
MSCL,Satellos Bioscience Inc.,8.0900,120.43,United States and Canada,Biotechnology,
RCEL,AVITA Medical Inc.,3.9100,120.34,United States and Canada,Biotechnology,72.35
ALPS,Alps Group Inc,0.7100,118.14,United States and Canada,Biotechnology,3.74
MENS,Jyong Biotech Ltd.,1.5900,118.03,United States and Canada,Biotechnology,
ENGN,enGene Therapeutics Inc.,1.7350,116.23,United States and Canada,Biotechnology,
ONCY,Oncolytics Biotech Inc.,0.9530,113.74,United States and Canada,Biotechnology,
COYA,Coya Therapeutics Inc.,4.7850,112.24,United States and Canada,Biotechnology,7.94
PYXS,Pyxis Oncology Inc.,1.7650,111.82,United States and Canada,Biotechnology,13.86
XGN,Exagen Inc.,4.5200,109.20,United States and Canada,Biotechnology,68.38
PEPG,PepGen Inc.,1.5750,108.94,United States and Canada,Biotechnology,
